"target","source","value"
"BIN Bank","Greenline",2
"BIN Bank","Eva",2
"International Bank of Azerbaijan","Rx-Partners",4
"International Bank of Azerbaijan","DrBucks",1
"International Bank of Azerbaijan","Rx-Promotion",2
"International Bank of Azerbaijan","Mailien",4
"International Bank of Azerbaijan","Stimul Cash",3
"International Bank of Azerbaijan","Glavmed",3
"Liberty Bank","Private Partners",1
"Liberty Bank","rxrevshare",1
"Liberty Bank","RxCash",3
"B+S Card Service","Zed (Herbal)",1
"Wirecard","Rx-Affiliate Network",1
"Wirecard","RxCashCow",1
"Barclays","Zed (Herbal)",3
"Barclays","Rx-Affiliate Network",4
"Valitor","RxCashCow",2
"Valitor","Stimul Cash",1
"State Bank of Mauritius","Private Partners",1
"State Bank of Mauritius","rxrevshare",1
"State Bank of Mauritius","Online Pharmacy",8
"State Bank of Mauritius","4Rx",1
"State Bank of Mauritius","Meds Partners",13
"State Bank of Mauritius","PharmCash",3
"State Bank of Mauritius","Zed (Herbal)",2
"State Bank of Mauritius","33Drugs",1
"State Bank of Mauritius","MyRxCash",1
"State Bank of Mauritius","RxCash",2
"State Bank of Mauritius","PH Online",2
"State Bank of Mauritius","Rx-Affiliate Network",12
"State Bank of Mauritius","RxCashCow",5
"State Bank of Mauritius","krebs pharma",7
"State Bank of Mauritius","Club-First",9
"State Bank of Mauritius","CashAdmin",1
"State Bank of Mauritius","stenva",9
"State Bank of Mauritius","RxProfits",2
"B+S Card Service","Meds Partners",2
"B+S Card Service","PH Online",6
"Azerigazbank","Rx-Partners",2
"Azerigazbank","Rx-Promotion",11
"Azerigazbank","33Drugs",1
"Azerigazbank","OXOPharm",1
"Azerigazbank","Mailien",7
"Azerigazbank","Eva",2
"Azerigazbank","World Pharmacy",1
"Azerigazbank","Club-First",4
"Azerigazbank","Stimul Cash",1
"Azerigazbank","Glavmed",13
"Dnb Nord Banka","Online Pharmacy",14
"Dnb Nord Banka","4Rx",4
"Dnb Nord Banka","Eva",5
"Dnb Nord Banka","Zed (Pharma)",1
"Cartu Bank","33Drugs",5
"Global Payments","World Pharmacy",2
"Wells Fargo (First Data)","Private Partners",1
"Bank of China","Private Partners",1
"Bank of China","Zed (Replica)",11
"Bank of China","4Rx",1
"Bank of China","Meds Partners",1
"Bank of China","PharmCash",2
"Bank of China","Zed (Herbal)",5
"Bank of China","24-7 meds",3
"Bank of China","RxCash",2
"Bank of China","World Pharmacy",1
"Bank of China","Club-First",3
"Bank of China","stenva",1
"Bank of China","Zed (Pharma)",4
"TBC Bank","Private Partners",1
"TBC Bank","PharmCash",5
"TBC Bank","33Drugs",10
"TBC Bank","MyRxCash",2
"TBC Bank","MedInc",3
"TBC Bank","RxProfits",2
"Rodovid Bank","Glavmed",1
"St Kitts and Nevis National Bank","Zed (Replica)",12
"St Kitts and Nevis National Bank","Zed (Herbal)",12
"Wells Fargo","Greenline",10
"Rietumu Banka","4Rx",1
"Rietumu Banka","33Drugs",3
"Rietumu Banka","Eva",7
"Raiffeisenbank","Greenline",1
"Bank Standard","Rx-Partners",7
"Bank Standard","DrBucks",1
"Bank Standard","Rx-Promotion",7
"Bank Standard","33Drugs",5
"Bank Standard","OXOPharm",5
"Bank Standard","Mailien",10
"Bank Standard","Stimul Cash",6
"Bank Standard","Glavmed",9
"Borgun","trustedtables (not rx-partners)",1
"Latvijas Pasta Banka","Private Partners",1
"Latvijas Pasta Banka","Zed (Replica)",1
"Latvijas Pasta Banka","4Rx",1
"Latvijas Pasta Banka","Greenline",3
"Latvijas Pasta Banka","DrBucks",2
"Latvijas Pasta Banka","33Drugs",3
"Latvijas Pasta Banka","RxCash",2
"Latvijas Pasta Banka","PH Online",1
"Latvijas Pasta Banka","World Pharmacy",2
"Latvijas Pasta Banka","stenva",1
"Latvijas Pasta Banka","Glavmed",2
"Latvijas Pasta Banka","Zed (Pharma)",1
"Worldpay","Eva",1
"Worldpay","MedInc",4
"Intercard Finance","Private Partners",1
"Intercard Finance","RxProfits",5
"Agricultural Bank of China","Zed (Replica)",7
"Agricultural Bank of China","Greenline",1
"Agricultural Bank of China","PharmCash",1
"Agricultural Bank of China","Zed (Herbal)",9
"Agricultural Bank of China","CashAdmin",2
"Agricultural Bank of China","Zed (Pharma)",2
"Agricultural Bank of China","MedStore",1
"National Bank of Egypt","euro pharmacy",1
"Bank of China","DrBucks",1
"Bank of China","24-7 meds",1
"Credicorp Bank","MyRxCash",9
"Banca Sella","TeraPharm",1
"Merrick Bank","RxProfits",1
"BOC Credit Card (International)","Zed (Pharma)",2
"Wells Fargo","facebook diet pills",3
"Bank of Communications","PH Online",3
"Bank of Communications","krebs pharma",1
"Bank of Communications","stenva",4
"Barclays","MedInc",1
"Payment via PayPal","MedInc",1
"E-Checking Payment","4Rx",4
"E-Checking Payment","RxCashCow",2
"Wire Transfer","myrxpartners",2
